"GUID","Status","Provider status","Type","Target group","Provider","Started","Status updated",""
"1bf21924-4b9d-4c81-46ff-2dd92e4bdbb1","QualityTerminate","QualityTerminate","Live","Paraguay 2","Cint","2023-12-05 14:55:56","2023-12-05 15:00:15",""
"a8c0fac7-2053-b2e9-741c-ceebf4a03059","Screenout","Screenout","Live","Paraguay 2","Cint","2023-12-05 14:54:04","2023-12-05 15:00:22",""
"fce6dd55-0a96-7927-518e-e9cd604202c0","Screenout","Screenout","Live","Paraguay 2","Cint","2023-12-05 14:43:14","2023-12-05 14:50:32",""
"e8ff2fd2-5bfd-3bb0-4809-1bd406e9c347","QualityTerminate","QualityTerminate","Live","Paraguay 2","Cint","2023-12-05 14:36:59","2023-12-05 14:40:14",""
"0eecabd2-0365-0ced-5a09-9fc74db6084b","Screenout","Screenout","Live","Paraguay 2","Cint","2023-12-05 14:29:22","2023-12-05 14:35:31",""
"b96fa78e-56c3-40b0-d955-9344f523c510","Screenout","Screenout","Live","Paraguay 2","Cint","2023-12-05 14:24:42","2023-12-05 14:30:17",""
"0a19e085-996d-96e9-a85e-d43294cfca42","Complete","Complete","Live","Uruguay & OCA 2","Cint","2023-12-05 14:13:10","2023-12-05 14:20:20",""
"5b7311d1-4c94-8666-c30a-255898042544","Complete","Complete","Live","Paraguay 2","Cint","2023-12-05 14:04:41","2023-12-05 14:10:15",""
"e1fbc3c3-4ac9-52db-4b18-f7d04940d720","TimedOut","TimedOut","Live","Paraguay 2","Cint","2023-12-05 14:04:27","2023-12-05 15:50:21",""
"9725fa8b-904f-18f9-9550-ce0e29510d1e","Complete","Complete","Live","Paraguay 2","Cint","2023-12-05 13:55:38","2023-12-05 14:00:15",""
"9262e8f4-c77b-7a3a-d12f-dc49d0125b61","TimedOut","TimedOut","Live","Paraguay 2","Cint","2023-12-05 13:37:14","2023-12-05 14:40:19",""
"df4f08f4-35f9-8a86-fc2f-3c645f472562","Complete","Complete","Live","Uruguay & OCA 2","Cint","2023-12-05 13:37:01","2023-12-05 13:45:24",""
"d6f2f399-ecfc-63cf-4142-c7d9f27f8468","Complete","Complete","Live","Uruguay & OCA 2","Cint","2023-12-05 13:36:58","2023-12-05 13:45:24",""
"2e3f3002-6a9f-b37b-8cd9-0414ab2e3697","Complete","Complete","Live","Uruguay & OCA 2","Cint","2023-12-05 13:35:41","2023-12-05 13:45:24",""
"925ab765-286c-0299-e9be-83711caa38a6","Complete","Complete","Live","Uruguay & OCA 2","Cint","2023-12-05 13:35:22","2023-12-05 13:45:24",""
"271885d8-1cdd-aba5-ab03-b1332a8f414d","Complete","Complete","Live","Paraguay 2","Cint","2023-12-05 13:23:00","2023-12-05 13:30:17",""
