"GUID","Status","Provider status","Type","Target group","Provider","Started","Status updated",""
"23bd6885-069d-7c81-454b-5c96a78daf71","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-24 14:47:26","2024-02-24 14:50:15",""
"fe3113be-fe7b-eb56-1b70-271a5a9e0928","TimedOut","TimedOut","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-24 13:21:42","2024-02-24 14:50:13",""
"b7d9d9f6-ae64-2190-f338-edf2971f596a","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-24 11:29:55","2024-02-24 11:35:12",""
"4ebec8c5-7ea0-69ec-5e0b-fc95177d7d5d","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-24 10:12:24","2024-02-24 10:15:19",""
"0a5b0c43-8906-2fd3-b58d-3870e8dea3da","Complete","Complete","Live","Uruguay / OCA - Includes Unión Capital panelists (2)","Cint","2024-02-24 06:16:17","2024-02-24 06:20:15",""
"950b03e1-88bf-bafd-942f-372085053475","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 23:04:50","2024-02-23 23:10:12",""
"a5b1b0ca-1a36-1d5e-2904-849a0358b359","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 21:23:12","2024-02-23 21:25:15",""
"cc7c3f3c-d986-4451-e7f2-0b5735037eaa","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 20:19:56","2024-02-23 20:25:12",""
"33286f81-8b21-9705-024f-5b0337197d61","TimedOut","New","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 19:34:42","2024-02-23 20:50:12",""
"71dc7189-67dc-88c8-f647-45f7bca79052","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 19:12:19","2024-02-23 19:15:19",""
"ccaa1de2-3e31-e574-802c-2981f654c837","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 18:26:02","2024-02-23 18:30:15",""
"4deb116a-2b55-48e5-6aa4-25c04e0f08f8","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 17:05:15","2024-02-23 17:10:15",""
"af07e51f-f157-1ed1-2dd1-d12cf5200086","Complete","Complete","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 16:11:49","2024-02-23 16:25:12",""
"fae8eaf0-3d49-11d3-6a3e-dec395397206","Screenout","Screenout","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 16:05:51","2024-02-23 16:10:15",""
"9f1026d2-5f57-cab2-921c-123bb5580141","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 16:04:37","2024-02-23 16:10:12",""
"f922c0a1-d920-b489-af6f-f4098d49c732","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 15:23:40","2024-02-23 15:25:15",""
"41e52e0d-1e52-9117-6ac3-1ace27ea029e","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 15:06:58","2024-02-23 15:10:15",""
"7453123c-69fe-eb73-79f2-26784f0490e1","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 14:49:31","2024-02-23 14:55:12",""
"e5f69da4-d1ce-6622-dc6a-a9dd65fe2746","QualityTerminate","QualityTerminate","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 14:47:28","2024-02-23 14:50:15",""
"575cf8e0-0bf3-01a7-762e-cc779cd0fd74","Complete","Complete","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 14:04:06","2024-02-23 14:10:14",""
"93584ba7-abc6-4aab-d369-7f731335bc47","TimedOut","TimedOut","Live","Unión Capital - Includes Uruguay / OCA panelists (2)","Cint","2024-02-23 13:33:13","2024-02-23 14:50:13",""
