id,Completed,Last page seen,Start language,Token,Date last action,Date started,IP address,DemP,DemR,RID,Weight,Weight2,Mobile device,Tablet device,SGENDER,IBIRTHYEAR,IAGEGROUPSET1,IAGEGROUPSET2,IAGEGROUPSET3,IAGEGROUPSET4,IAGEGROUPSET5,DemPC,COUNTRY,RESPONDENT,Q4 [1],Q4 [2],Q4 [3],Q4 [4],Q4 [5],Q4 [6],Q4 [7],Q4 [8],Q4 [9],Q4 [10],Q20x1 [1],Q20x1 [2],Q20x1 [3],Q20x2 [1],Q20x2 [2],Q20x2 [3],Q20x3 [1],Q20x3 [2],Q20x3 [3],Q20x4 [1],Q20x4 [2],Q20x4 [3],Q24,Q25
1,2023-06-30 17:45:07,4,en,,2023-06-30 17:45:07,2023-06-30 17:33:56,,,,984ec6ba-021e-b4d6-6eb5-f2650490fe20,1,1,N,N,Female,1975,,,,,,15259,3,1,,,,,,,,,,,Vet inte,Vet inte,Vet ej,Vet inte,Vet ej,Vet,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,,Vet inte
2,2023-06-30 17:55:41,4,en,,2023-06-30 17:55:41,2023-06-30 17:34:36,,,,91fd4463-8000-3bbe-dd6c-70d6fcbb7c87,1,1,N,N,Female,1990,,,,,,57258,3,1,,,,,,,,,,,Hh,Timberland,Nike,Hh,Timberland,Nike,Hh,Nike,Timberland,Adidas,Nike,Eko,,Vet ej
3,2023-06-30 17:51:32,4,en,,2023-06-30 17:51:32,2023-06-30 17:34:53,,,,e351dd75-dbe5-9eae-717a-e97ab41a1bee,1,1,N,N,Female,1993,,,,,,16774,3,1,,,,,,,,,,,Höglofs,Fjälraven,Salomon,Nike,Adidas,Puma,Salomon,Oakley,Bianci,Nike,Soc,Adidas,,Bättre priserna
4,2023-06-30 17:54:01,4,en,,2023-06-30 17:54:01,2023-06-30 17:34:57,,,,9c8cd559-0891-96b3-ac56-e1a7382dc4c3,1,1,N,N,Male,1995,,,,,,21214,3,1,,,,,,,,,,,Zalando,Nike,Stadium,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Zalando,Stadium,Vet ej,,Vet ej
5,2023-06-30 17:44:30,4,en,,2023-06-30 17:44:30,2023-06-30 17:35:09,,,,26a29474-3028-d4c4-827b-a089d6d5d0e9,1,1,N,N,Female,1983,,,,,,29151,3,1,Stadium,Team sportia,,,,,,,,,Stadium outlet,Stadium,Team sportia,Stadium,Stadium outlet,Zalando,Stadium,Stadium outlet,Team sportia,Stadium outlet,Stadium,Adidas,Tillgänglighet,Bättre erbjudande
6,2023-06-30 17:45:49,4,en,,2023-06-30 17:45:49,2023-06-30 17:35:15,,,,919e0a92-6f14-4bc6-be9d-3eb527a58378,1,1,N,N,Female,1970,,,,,,53396,3,1,Stadium,Intersport,,,,,,,,,Vet inte,Vet inte,Vet inte,Asics,Adidas,Nike,Vet inte,Vet inte,Vet inte,Adidas,Puma,Nike,Bra pris,"Vet ej, finns inte i närheten"
7,2023-06-30 17:49:57,4,en,,2023-06-30 17:49:57,2023-06-30 17:35:16,,,,ccbe246c-2459-65af-9e63-1095832ac4f6,1,1,N,N,Female,1972,,,,,,42158,3,1,naturkompaniet,outnorth,fjällräven,stadium,intersport,xxl,,,,,pantagonia,fjällräven,salomon,nike,adidas,craft,vet ej,vet ej,vwt ej,soc,craft,asics,nedsatta priser,"fler personal i butik, kunnig personal i butik, bättre hemsida"
8,2023-06-30 17:46:39,4,en,,2023-06-30 17:46:39,2023-06-30 17:35:17,,,,38b39a8b-e019-db6c-9384-ae985ba20056,1,1,N,N,Female,1962,,,,,,19632,3,1,stadium,intersport,xl sport,team sportia,,,,,,,reebok,helly hansen,fjällräven,nike,adidas,reebok,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,"inget, jag sliter ut det jag har av miljöskäl",inget
9,2023-06-30 17:42:09,4,en,,2023-06-30 17:42:09,2023-06-30 17:35:44,,,,5a26a01c-a43a-e727-0613-940d0d8e64f9,1,1,N,N,Female,1984,,,,,,0578,2,1,,,,,,,,,,,Nike,Xxl,Hm,Nike,Xxl,Coop,Coop,Hm,Xxl,Hm,Nike,Xxl,,Usikker
10,2023-06-30 17:50:11,4,en,,2023-06-30 17:50:11,2023-06-30 17:35:49,,,,27b5b76b-3383-f32f-9564-839eef63fbf5,1,1,N,N,Female,1984,,,,,,43143,3,1,Sportshopen,,,,,,,,,,Intersport,Sportshopen,Puma,Adiddas,Nike,Puma,Biltema,Xxl,Ingen,Puma,Adiddas,Nike,Sportshopen,Bra
11,2023-06-30 17:50:28,4,en,,2023-06-30 17:50:28,2023-06-30 17:36:03,,,,8d74bbf7-bd99-f129-54f8-8f5fe75e4128,1,1,N,N,Male,1981,,,,,,45160,3,1,Stadium,Intersport,Team sportia,,,,,,,,Vet ej,Vet ej,Vet ej,Adidas,Nike,Puma,Helly hansen,Salomon,Peak Performance,Adidas,Nike,Puma,Butiker som ligger närmare geografiskt.,Har butiker närmare där jag bor och ha bra erbjudanden.
12,2023-06-30 17:43:41,4,en,,2023-06-30 17:43:41,2023-06-30 17:36:27,,,,1739b9ec-46db-f04f-19e3-8d12b899be76,1,1,N,N,Female,1989,,,,,,47332,3,1,,,,,,,,,,,Vet intw,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet intw,Vet inte,Vet intw,Vet inte,Vet inte,,Vet inte
13,2023-06-30 17:59:19,4,en,,2023-06-30 17:59:19,2023-06-30 17:36:38,,,,d140cba6-25e1-9872-60a9-ff6b8729a957,1,1,N,N,Female,1981,,,,,,57137,3,1,Inter Sport,Stadium,,,,,,,,,Fjällräven,Peak Performance,Vet ej,Nike,Adidas,Reebook,Salomon,Fischer,Vet ej,Nike,Puma,Adidas,Lägre priser,Sänka priset
14,2023-06-30 17:55:09,4,en,,2023-06-30 17:55:09,2023-06-30 17:36:54,,,,e6c7801e-2417-d00b-e711-b4ecc7c7a4fd,1,1,N,N,Female,1985,,,,,,23837,3,1,Naturkompaniet,,,,,,,,,,Stadium,Naturkompaniet,Zalando,Adidas,Nike,H&M,Abus,Stadium,Amazon,Adidas,H&M,Zalando,Bättre erbjudande och kampaner,vet ej
15,2023-06-30 17:43:51,4,en,,2023-06-30 17:43:51,2023-06-30 17:37:13,,,,03c547d3-d380-1660-e5dc-73eefcd23836,1,1,N,N,Male,1994,,,,,,53231,3,1,,,,,,,,,,,Vet inte,Bra,Mycket bra,Bra,Mycket bra,Jättebra,H41rh,4g4h,4g,1rhh,4g1eg,T2jjt,,Bra
16,2023-06-30 17:49:47,4,en,,2023-06-30 17:49:47,2023-06-30 17:37:22,,,,7c2e87b2-8401-d0d6-0ebd-b30568d28466,1,1,N,N,Male,1964,,,,,,3924,2,1,Stadium,Xxl,Intersport,Sport 1,,,,,,,Helly Hansen,Bergans,Norønna,Salomon,Adidas,Alfa,Polar,Nakamura,Giant,Helly Hansen,Bergans,Hagløfs,Pris,Pris
17,2023-06-30 17:46:37,4,en,,2023-06-30 17:46:37,2023-06-30 17:38:00,,,,a837131a-c301-4902-1715-271c00d72fe8,1,1,N,N,Female,1988,,,,,,13137,3,1,Xxl,Stadium,,,,,,,,,Adidas,Peak,Northface,Fotboll,Gym,Tröning,Skor,Jacka,Byxor,Vet ej,Adidas,Stadium,Inget annat,Inget
18,2023-06-30 17:46:20,4,en,,2023-06-30 17:46:20,2023-06-30 17:38:09,,,,af0815a0-7fba-4f14-28af-21236963973f,1,1,N,N,Male,1977,,,,,,77270,3,1,stadium,naturkompaniet,inter sport,team sportia,xxl,,,,,,reebok,adidas,haglöfs,reebok,adidas,new balance,vet ej,vet ej,vet ej,new balance,reebok,nike,"inte en aning, tycker sortimentet på bägge är rätt värdelöst. är väl mer riktat mot löpning och andra sporter jag inte sysslar med",mer i sortimentet som är för mig
